headline 	 snippet 	 date	name
Don Payne, 48, Scriptwriter for &#x2018;Simpsons&#x2019;	Don Payne, whose scriptwriting credits include 12 episodes of &#x201C; The Simpsons &#x201D; and movie blockbusters like &#x201C;Thor,&#x201D; died on Tuesday at his home in Los Angeles. He was 48.&#xa;   &#xa;The cause was sarcoma, John Frink, a fel	2013-04-01T00:00:00Z	Don Payne
Canada: Criminal Investigation Is Begun Into Deadly Train Crash	The authorities have opened a criminal investigation into the fiery wreck of a runaway oil train on Saturday in Lac-Megantic, Quebec.	2013-07-10T00:00:00Z	Canada: Criminal Investigation Is Begun Into Deadly Train Crash
Merrill Brockway, 90, PBS Producer, Dies	Merrill Brockway, a director and producer who brought high art to millions of Americans by presenting many of the 20th century&#x2019;s greatest dancers and choreographers on the  PBS  television series &#x201C;Dance in America,&#x201D; died on May 2	2013-05-13T00:00:00Z	Merrill Brockway
Martin L. Gross, Critic of Big Government, Dies at 88	Mr. Gross, who was embraced by supporters of the Tea Party, took aim at spending and taxation with books like “The Government Racket: Washington Waste From A to Z.”	2013-09-06T00:00:00Z	Martin L. Gross
Niels Diffrient, Industrial Designer Who Blended Form and Function, Dies at 84	Mr. Diffrient combined elegance and efficiency in everyday objects, and even office chairs like the award-winning Freedom Chair.	2013-06-17T00:00:00Z	Niels Diffrient
Steve Berrios, Master of Latin Jazz and Drums, Dies at 68	Mr. Berrios, a fixture of the New York jazz scene for 40 years, was a founding member of the Fort Apache Band.	2013-07-28T00:00:00Z	Steve Berrios
Doug Ireland, an Acerbic Activist and Left-Wing Writer, Is Dead at 67	Mr. Ireland managed the congressional campaigns of Allard K. Lowenstein and Bella Abzug and wrote about politics, the media and gay issues.	2013-11-07T00:00:00Z	Doug Ireland
Chen Xitong, Beijing Mayor During Tiananmen Protests, Dies at 82	Mr. Chen’s stance on the Tiananmen Square protests of 1989 earned him promotion from the Communist Party and scorn from its opponents.	2013-06-06T00:00:00Z	Chen Xitong
Van Cliburn, Cold War Musical Envoy, Dies at 78	Mr. Cliburn won the first-place award at the 1958 Tchaikovsky International Competition, a victory viewed as an American triumph over the Soviet Union at the height of the cold war.	2013-02-28T00:00:00Z	Van Cliburn
Srdja Popovic, 76, Serbian Champion of Rights, Dies	Mr. Popovic was a Serbian lawyer and celebrated human rights advocate who pressed for reform and free speech for five decades.	2013-11-03T00:00:00Z	Srdja Popovic
Ralph A. Dungan, Aide in Kennedy White House, Dies at 90	Mr. Dungan, who specialized in Latin American affairs as a presidential aide, later increased the size and prestige of New Jersey’s higher education system.	2013-10-10T00:00:00Z	Ralph A. Dungan
Stan Isaacs, Cheeky Columnist, Dies at 83	Isaacs was one of the Chipmunks, a group of young reporters, mainly in New York, who brought irreverence and daring to sports coverage beginning in the early 1960s.	2013-04-11T00:00:00Z	Stan Isaacs
Martin Arnold, Former Times Journalist, Dies at 84	Mr. Arnold was an editor for The New York Times Magazine, earned a George Polk Award for his reporting, explored municipal corruption and wrote a column about the publishing industry.	2013-06-06T00:00:00Z	Martin Arnold
Rev. Eugene Callender, Who Saw Potential of School Dropouts, Dies at 87	Dr. Callender ministered in Harlem, served in the Lindsay and Mario Cuomo administrations and started a chain of &#8220;street academies&#8221; that became a model for programs nationwide.	2013-11-10T00:00:00Z	Rev. Eugene Callender
Tim Taylor, Yale and ’94 Olympic Coach, Dies at 71	Mr. Taylor became Yale’s winningest hockey coach and the leader of four national teams in the world championships and one in the Lillehammer Olympics.	2013-04-30T00:00:00Z	Tim Taylor
Roger Ebert Dies at 70; a Critic for the Common Man	Roger Ebert, the popular film critic and television co-host, could lift or sink the fortunes of a movie along with his partner, Gene Siskel.	2013-04-05T00:00:00Z	Roger Ebert Dies at 70; a Critic for the Common Man
Bob Fletcher Dies at 101; Helped Japanese-Americans	Mr. Fletcher was thought of as an unsung hero for his efforts during World War II in California to manage the farms of Japanese families forced to live in internment camps.	2013-06-07T00:00:00Z	Bob Fletcher Dies at 101; Helped Japanese-Americans
Merrill Brockway, Producer of TV’s ‘Dance in America,’ Dies at 90	Mr. Brockway, who was also a director, brought high art to millions of Americans though the PBS series.	2013-05-10T00:00:00Z	Merrill Brockway
Thomas Rees, Plastic Surgeon Who Treated Africa, Dies at 86	Dr. Rees, an innovative New York practitioner, helped found the Flying Doctors Service of East Africa, which helps provide medical care and save lives in the African bush.	2013-11-24T00:00:00Z	Thomas Rees
Alan Myers, Drummer in Devo, Dies at 58	Mr. Myers’s bandmate Gerald Casale said the band would never have reached the heights it did without Mr. Myers.	2013-06-27T00:00:00Z	Alan Myers
Stéphane Hessel, Author and Activist, Dies at 95	A hero of the French Resistance, Mr. Hessel marshaled the same defiant spirit more than 60 years later in a manifesto that inspired social protesters in Europe and the United States.	2013-02-28T00:00:00Z	Stéphane Hessel
Bob Greene, Jazz Pianist, Dies at 91	Mr. Greene’s love of the jazz legend Jelly Roll Morton’s music was such that he left his writing career to perform the Jelly Roll canon.	2013-11-01T00:00:00Z	Bob Greene
Ronald H. Coase, ‘Accidental’ Economist			Ronald H. Coase
Who Won a Nobel Prize, Dies at 102	Professor Coase was a law professor whose papers on why companies work and when government regulation is unnecessary influenced modern economics.	2013-09-04T00:00:00Z	Who Won a Nobel Prize
Harlon Hill, N.F.L. Star and Trophy Name, Dies at 80	Mr. Hill, a receiver, was a rookie of the year, an all-N.F.L. and Pro Bowl player, and a key contributor to a Chicago Bears team that reached the league’s championship game.	2013-03-26T00:00:00Z	Harlon Hill
Stephen Crohn, Who Furthered AIDS Study, Dies at 66	Mr. Crohn, a New York artist and editor who had a resistance to the virus that causes AIDS, helped scientists learn more about the disease simply by staying alive.	2013-09-15T00:00:00Z	Stephen Crohn
Bishop Joseph M. Sullivan, Advocate for the Poor, Dies at 83	Bishop Sullivan testified before Congress in the 1980s about the effect of AIDS and poverty on communities in Brooklyn and Queens.	2013-06-09T00:00:00Z	Bishop Joseph M. Sullivan
Richard Griffiths, Falstaffian English Actor, Dies at 65	Mr. Griffiths, who played Uncle Vernon in the Harry Potter movies, reached a career peak as a schoolteacher in “The History Boys” on Broadway and the West End.	2013-03-30T00:00:00Z	Richard Griffiths
Ed Fisher, 86, New Yorker Cartoonist, Dies	Ed Fisher, whose culturally savvy cartoons, featured in  The New Yorker  for nearly 50 years, made wry sport of modern life, frequently matching images from history or folklore with captions in an up-to-date mode, died on April 3 in Canaan, Conn. He 	2013-04-12T00:00:00Z	Ed Fisher
Cal Worthington, Car Dealer With Manic Ads, Dies at 92	Mr. Worthington owned a string of car dealerships and ran dozens of outlandish commercials daily on California television for more than half a century.	2013-09-10T00:00:00Z	Cal Worthington
Álvaro Mutis, Novelist Who Created a Rambling, Ruminative Soul, Dies at 90	Mr. Mutis’s best-known character, Maqroll, wandered the world unwillingly, but always with a book.	2013-09-29T00:00:00Z	Álvaro Mutis
Taiho, Dominant Postwar Sumo Champ, Dies at 72	Taiho, widely considered the greatest sumo wrestler of postwar Japan, had a career record of 746-144-136.	2013-01-23T00:00:00Z	Taiho
Robert C. Stebbins, 98, Chronicler of Reptiles and Amphibians, Is Dead	Professor Stebbins&#8217;s 1966 field guide &#8212; written in longhand and typed by his wife, Annarose &#8212; is considered an indispensable tool in a herpetologist&#8217;s field pack.	2013-10-11T00:00:00Z	Robert C. Stebbins
David Howard, Revered Teacher of Dancers, Dies at 76	Mr. Howard’s school in New York was frequented by the likes of Gelsey Kirkland, Patricia McBride and Mikhail Baryshnikov.	2013-08-19T00:00:00Z	David Howard
Ed Shaughnessy, ‘Tonight’ Drummer, Is Dead at 84	Mr. Shaughnessy’s deft drumming anchored the “Tonight Show” orchestra for 29 years.	2013-05-27T00:00:00Z	Ed Shaughnessy
Paul Soros, Shipping Innovator, Dies at 87	Mr. Soros built Soros Associates, which has dominated the port-building industry and shifted international trade and production patterns through its shipping innovations.	2013-06-16T00:00:00Z	Paul Soros
Pat Summerall, Star Kicker With Giants and a Calm Voice on TV, Dies at 82	Mr. Summerall was a place-kicker who later went on to a career in broadcasting, forming a famous team with John Madden.	2013-04-17T00:00:00Z	Pat Summerall
Vernon Romney, Utah Politician and Candidate’s Cousin, Dies at 89	Mr. Romney, a cousin of Mitt Romney, secured Great Salt Lake mineral rights for Utah when he was attorney general.	2013-07-17T00:00:00Z	Vernon Romney
Ed Fisher, New Yorker Cartoonist, Dies at 86	Mr. Fisher created cartoons that managed to be erudite without being pretentious, requiring a general recognition of the world’s history and a healthy appreciation of irony.	2013-04-09T00:00:00Z	Ed Fisher
Death Ends a Football Season Early	The teammates of a high school football player in upstate New York who died after being injured in a game have voted to end their season early.	2013-09-27T00:00:00Z	Death Ends a Football Season Early
Scott Carpenter, One of the Original Seven Astronauts, Is Dead at 88	Mr. Carpenter’s flight into space was in May 1962. Before the first mission to orbit the Earth, in February that same year, he famously told another astronaut, “Godspeed, John Glenn.”	2013-10-11T00:00:00Z	Scott Carpenter
Harold M. Schmeck, 89, Times Science Writer, Dies	Mr. Schmeck covered medical research for The New York Times, where he worked for more than 30 years.	2013-04-09T00:00:00Z	Harold M. Schmeck
Illinois: Body of Lottery Winner Will Be Exhumed	A judge on Friday granted prosecutors permission to exhume the body of a Chicago man who was poisoned with cyanide just as he was about to collect a $425,000 lottery prize.	2013-01-12T00:00:00Z	Illinois: Body of Lottery Winner Will Be Exhumed
George Scott, Slugger Who Boomed ‘Taters’ in Fenway, Dies at 69	Mr. Scott was a three-time All-Star and hit 271 home runs, or taters, as he called them. In 1967, he helped lead the Boston Red Sox to their first pennant in 21 years.	2013-07-30T00:00:00Z	George Scott
Zelmo Beaty, All-Star Center in Pro Basketball, Dies at 73	Beaty was probably about 6 feet 8 inches, but he excelled as a scorer and as a rebounder in his battles with bigger opponents.	2013-09-10T00:00:00Z	Zelmo Beaty
David Lloyd, Tenor With City Opera, Dies at 92	Mr. Lloyd, an American lyric tenor with New York City Opera in the 1950s, was also known as a recitalist and oratorio soloist.	2013-02-13T00:00:00Z	David Lloyd
Morris Renek, a Novelist of Gift and Determination, Dies at 88	Mr. Renek was a critically admired New York writer who created comic tales about historical criminals and modern urban life but never achieved the commercial success many thought he deserved.	2013-05-27T00:00:00Z	Morris Renek
Stan Musial, Gentlemanly Slugger and Cardinals’ Stan the Man, Dies at 92	Mr. Musial, who played his entire career in St. Louis, won seven batting titles, hit 475 home runs, amassed 3,630 hits and was voted into the Hall of Fame in his first year of eligibility.	2013-01-20T00:00:00Z	Stan Musial
Martin Sharp, 71, an Artist Who Shaped Imagery of Rock, Dies	Mr. Sharp’s posters, paintings and collages included depictions of Tiny Tim and Marilyn Monroe.	2013-12-07T00:00:00Z	Martin Sharp
Jim Kelly, Star of Martial Arts Movies, Dies at 67	Mr. Kelly added an Afro, swagger and a few memorable one-liners to martial arts movies in the 1970s.	2013-07-02T00:00:00Z	Jim Kelly
Peter O’Toole, Whose Acclaim Began With ‘Lawrence of Arabia,’ Dies at 81	Mr. O’Toole’s performance in the epic 1962 film earned him overnight fame and established him as one of his generation’s most charismatic actors.	2013-12-16T00:00:00Z	Peter O’Toole
Cosmo Allegretti, ‘Captain Kangaroo’ Actor and Puppeteer, Dies at 86	Mr. Allegretti commanded puppets like Bunny Rabbit and Mr. Moose and played Dancing Bear and Grandfather Clock on the popular CBS children’s show.	2013-08-09T00:00:00Z	Cosmo Allegretti
Cosmo Allegretti, ‘Captain Kangaroo’ Actor and Puppeteer, Dies at 86	Mr. Allegretti commanded puppets like Bunny Rabbit and Mr. Moose and played Dancing Bear and Grandfather Clock on the popular CBS children’s show.	2013-08-09T00:00:00Z	Cosmo Allegretti
Alan Rosenthal, Who Reshaped Legislatures, Dies at 81	Mr. Rosenthal was a political scientist and champion of the idea that government can be a positive force.	2013-07-12T00:00:00Z	Alan Rosenthal
C. W. Bill Young, Longtime Florida Congressman, Dies at 82	Mr. Young was Florida’s longest-serving member of Congress and a Republican hawk on military spending during his 43 years in Washington.	2013-10-19T00:00:00Z	C. W. Bill Young
Storm Thorgerson, Album Designer, Dies at 69	In addition to that of “The Dark Side of the Moon,” Mr. Thorgerson also produced semi-surreal designs for recordings by Led Zeppelin, Genesis, the Cranberries and Phish.	2013-04-21T00:00:00Z	Storm Thorgerson
Christian de Duve, 95, Dies; Nobel-Winning Biochemist	Dr. de Duve, a Belgian biochemist whose discoveries shed light on genetic disorders like Tay-Sachs disease, shared the 1974 Nobel Prize in Physiology or Medicine with two others.	2013-05-07T00:00:00Z	Christian de Duve
John Hawk, Hero of Normandy Battle, Dies at 89	Mr. Hawk, who received the Medal of Honor for action as an Army sergeant in World War II that led to the capture of more than 500 German troops in northern France, later became a school principal.	2013-11-10T00:00:00Z	John Hawk
James Street Dies at 65; Led Texas to Title 	Street became an instant legend for fueling a 15-14 victory over Arkansas in 1969, which gave Texas the national crown, as declared by President Richard M. Nixon.	2013-10-02T00:00:00Z	James Street Dies at 65; Led Texas to Title 
Ozzie Sweet, Who Helped Define New Era of Photography, Dies at 94	Mr. Sweet was a photographic illustrator known for his use of fierce hues that emulated the emergent Technicolor palate of American movies, and helped define — visually, anyway — an era.	2013-02-24T00:00:00Z	Ozzie Sweet
Art Donovan, a Behemoth of Modesty, Dies at 89	Donovan, a 300-pound tackle on the Baltimore Colts’ championship teams in 1958 and 1959, was known for his self-deprecating modesty.	2013-08-06T00:00:00Z	Art Donovan
Leighton Gage, Crime Novelist, Dies at 71	Mr. Gage was an advertising professional before his first book was published when he was 66.	2013-08-04T00:00:00Z	Leighton Gage
Merrell Williams Jr., Paralegal Who Bared Big Tobacco, Dies at 72	Mr. Williams leaked mountains of internal documents in 1994, fueling lawsuits that resulted in an industry payout of billions of dollars to pay smokers’ medical bills.	2013-11-27T00:00:00Z	Merrell Williams Jr.
Leighton Gage, Crime Novelist, Dies at 71	Mr. Gage was an advertising professional before his first book was published when he was 66.	2013-08-04T00:00:00Z	Leighton Gage
John Egerton, Who Lent Spice to Social Justice, Dies at 78	Mr. Egerton, a Southern writer, used Southern cooking both as a means to understand the culture and to achieve racial reconciliation.	2013-11-23T00:00:00Z	John Egerton
Penn Kimball, Journalist Who Sued U.S., Dies at 98	Mr. Kimball successfully sued the federal government after he discovered that secret files had identified him as a national security risk.	2013-11-13T00:00:00Z	Penn Kimball
Peter M. Flanigan, Banker and Nixon Aide, Dies at 90	Mr. Flanigan became one of President Richard M. Nixon’s most trusted, influential and well-connected aides on business and economic matters.	2013-08-01T00:00:00Z	Peter M. Flanigan
Jack Vance, Novelist of the Fantastical, Is Dead at 96	Mr. Vance wrote fantasy and mysteries, sometimes pseudonymously. But he specialized in science fiction, a label he disdained, and wrote a number of book series.	2013-06-03T00:00:00Z	Jack Vance
Michael Baigent, Writer Who Sued Over ‘Da Vinci Code,’ Dies at 65	Mr. Baigent, an author of “The Holy Blood and the Holy Grail,” contended that Dan Brown had stolen his ideas, using them in “The Da Vinci Code.”	2013-06-23T00:00:00Z	Michael Baigent
Bob Sickinger, Chicago Stage Innovator, Dies at 86	Mr. Sickinger believed that theater wasn’t presented to a community but arose from it, and that was the model he followed in Chicago.	2013-05-15T00:00:00Z	Bob Sickinger
D. J. R. Bruckner, Columnist and Critic, Dies at 79	Mr. Bruckner, who was a longtime editor for The New York Times Book Review, landed on Nixon&#8217;s enemies list over his syndicated columns for The Los Angeles Times.	2013-09-21T00:00:00Z	D. J. R. Bruckner
Thomas McEvilley, Critic and Defender of Non-Western Art, Dies at 73	Mr. McEvilley’s evisceration of a Museum of Modern Art show on “primitivism” in 1984 put curators on the defensive and changed the debate about multiculturalism in art.	2013-03-31T00:00:00Z	Thomas McEvilley
Tabu Ley Rochereau Dies; Spread the Sound of Soukous	Global influences could be heard in the music of Mr. Tabu, a Congolese singer, songwriter and politician.	2013-12-08T00:00:00Z	Tabu Ley Rochereau Dies; Spread the Sound of Soukous
Paul Mayer, 82, Ex-Priest and Peace Activist, Dies	Mr. Mayer was a Jewish-born former Roman Catholic priest who was at the forefront of peace and social justice campaigns for five decades.	2013-12-08T00:00:00Z	Paul Mayer
Alec Reid, Northern Ireland Priest Who Helped Broker Peace Accord, Dies at 82	Father Reid served as a secret peace broker between Gerry Adams, the leader of Sinn Fein, and contacts in the British and Irish governments.	2013-11-26T00:00:00Z	Alec Reid
Burhan Dogancay, Artist Inspired by Urban Walls, Dies at 83	Mr. Dogancay, a Turkish artist fascinated by art on city walls, was known for abstract paintings that have been exhibited at dozens of museums worldwide.	2013-01-21T00:00:00Z	Burhan Dogancay
Gérard de Villiers, 83, French Spy Writer, Dies	Mr. de Villiers was a French popular novelist whose long-running spy-thriller series, S.A.S., sold more than 100 million copies.	2013-11-03T00:00:00Z	Gérard de Villiers
Bill Sharman, Two-Time Basketball Hall of Famer, Dies at 87	A guard for the Boston Celtics in the 1950s, Sharman went on to lead the Lakers to their first N.B.A. title in Los Angeles, in 1971-72, and is credited with introducing the morning shootaround.	2013-10-26T00:00:00Z	Bill Sharman
Nicholas Oresko, 96, a Hero of the Battle of the Bulge, Dies	Mr. Oresko single-handedly wiped out two machine-gun positions at the Battle of the Bulge in 1945, storming the hill alone when his platoon would not budge.	2013-10-06T00:00:00Z	Nicholas Oresko
Jean-Claude Suares, 71, a Daring Times Op-Ed Artist	Mr. Suares, the first Op-Ed page art director at The New York Times, began a visual era for editorial illustrations that influenced many other publications.	2013-08-08T00:00:00Z	Jean-Claude Suares
Col. Bud Day, Heroic Pilot in Vietnam War, Dies at 88	Colonel Day, an Air Force fighter pilot, earned the Medal of Honor for enduring more than five years of brutality without divulging sensitive information to his captors.	2013-07-29T00:00:00Z	Col. Bud Day
Deke Richards, Creator of Motown Hits, Dies at 68	Mr. Richards helped write and produce top-selling singles like “I Want You Back and “ABC” for the Jackson 5 and “Love Child” for Diana Ross and the Supremes.	2013-03-28T00:00:00Z	Deke Richards
Magic Slim, Blues Singer and Guitarist Who Blazed Onstage, Dies at 75	Magic Slim, who moved to Chicago from Mississippi, was known for his intense live performances.	2013-02-23T00:00:00Z	Magic Slim
Man Sets Fire, Killing One Person, Police Say	Nearly 200 firefighters battled the five-alarm blaze that spread through a five-story apartment building in Manhattan’s NoLIta neighborhood Thursday night.	2013-01-11T00:00:00Z	Man Sets Fire
Mississippi Mayoral Candidate Found Dead	The body of Marco McMillian, a candidate for mayor in Clarksdale, Miss., was found beside a levee on Wednesday.	2013-03-01T00:00:00Z	Mississippi Mayoral Candidate Found Dead
Booth Gardner Dies at 76; Ex-Washington Governor	Mr. Gardner served two terms and then led a campaign to allow physician-assisted suicide after becoming a Parkinson’s disease patient.	2013-03-19T00:00:00Z	Booth Gardner Dies at 76; Ex-Washington Governor
Bruce Reynolds, Audacious Mastermind of Great Train Robbery, Is Dead at 81	Mr. Reynolds, who at the time of the theft was known to the police as a burglar well-connected in the London underworld, referred to the heist in a 1996 interview as “my Sistine Chapel.”	2013-03-01T00:00:00Z	Bruce Reynolds
Elvin R. Heiberg III, General Who Took Blame for Hurricane Katrina Failures, Dies at 81	General Heiberg, as head of the Army Corps of Engineers, regretted his decision to stop fighting for barriers to protect New Orleans.	2013-10-06T00:00:00Z	Elvin R. Heiberg III
Robert Remini, Exhaustive Andrew Jackson Biographer, Dies at 91	Mr. Remini’s three-volume study of the seventh United States president depicted Jackson as imperfect but often heroic, a passionate defender of the common man.	2013-04-06T00:00:00Z	Robert Remini
Dan Lurie, 90, Star and Promoter of Bodybuilding, Dies	Mr. Lurie’s chiseled physique and feats of strength made him a cover model for fitness magazines and a walking promoter for both the sport and the business of bodybuilding.	2013-11-09T00:00:00Z	Dan Lurie
Emile Griffith, Boxer Who Unleashed a Fatal Barrage, Dies at 75	Griffith, a welterweight and middleweight champion, fought professionally for 20 years. He famously won a 1962 bout in which his opponent died 10 days later.	2013-07-24T00:00:00Z	Emile Griffith
Thomas Foley, House Speaker, Dies at 84; Democrat Urged Parties to Collaborate	Mr. Foley, a Democrat from Washington State, became speaker in June 1989 and urged “our friends on the Republican side to come together and put away bitterness and division and hostility.”	2013-10-19T00:00:00Z	Thomas Foley
Paul Dietzel, Coach Who Led L.S.U. to Its First National Title, Dies at 89	In Louisiana State’s 1958 championship season, Dietzel  used a platoon system famous for a scrappy defensive unit known as the Chinese Bandits.	2013-09-25T00:00:00Z	Paul Dietzel
Harold Camping, Dogged Forecaster of the End of the World, Dies at 92	Mr. Camping, who founded the Family Radio network, repeatedly prophesied the date of the apocalypse, and apologized when it turned out to be wrong.	2013-12-18T00:00:00Z	Harold Camping
William Stevenson, 89, Dies; Author With Ties to Spies	Mr. Stevenson, who wrote “A Man Called Intrepid” and “90 Minutes at Entebbe,” spent much of his career straddling the worlds of espionage and journalism.	2013-12-03T00:00:00Z	William Stevenson
Storm Thorgerson, Album Designer, Dies at 69	In addition to that of “The Dark Side of the Moon,” Mr. Thorgerson also produced semi-surreal designs for recordings by Led Zeppelin, Genesis and the Cranberries.	2013-04-22T00:00:00Z	Storm Thorgerson
Paul Tanner, Musician With ‘Good Vibrations,’ Dies at 95	Mr. Tanner, a trombonist for Glenn Miller, played the electro-theremin for the Beach Boys and became a music educator at the University of California, Los Angeles.	2013-02-09T00:00:00Z	Paul Tanner
Barnaby Conrad, Man of Many Hats and a Cape, Dies at 90	Mr. Conrad was also a painter, Sinclair Lewis’s personal secretary, and owner of the nightclub El Matador in San Francisco.	2013-02-17T00:00:00Z	Barnaby Conrad
L. C. Greenwood, Member of ‘Steel Curtain,’ Dies at 67	Greenwood, a left defensive end who was a master of the quarterback sack, helped lead the Pittsburgh Steelers to four Super Bowl victories in the 1970s.	2013-10-01T00:00:00Z	L. C. Greenwood
Frank Tripucka, 85, a Star at Notre Dame, Is Dead	Mr. Tripucka’s seven children were all athletes; his son Kelly was an all-American basketball player for the Fighting Irish.	2013-09-15T00:00:00Z	Frank Tripucka
Anthony Pawson, Biologist in Cell-Protein Breakthrough, Dies at 60	In 1990, Dr. Pawson and his research team in Toronto identified the SH2 domain, which offered insights about how cells communicate with one another and resolved one of science’s oldest mysteries.	2013-09-01T00:00:00Z	Anthony Pawson
Dirk Coetzee, South African Official Who Led Apartheid-Era Killings, Dies at 67	Mr. Coetzee was a divisive figure who led killings of antiapartheid activists in South Africa and later detailed accounts of a corrupt police force.	2013-03-10T00:00:00Z	Dirk Coetzee
Paul Tanner, Musician With ‘Good Vibrations,’ Dies at 95	Mr. Tanner, a trombonist for Glenn Miller, played the electro-theremin for the Beach Boys and became a music educator at the University of California, Los Angeles.	2013-02-09T00:00:00Z	Paul Tanner
City&#x2019;s Longest-Serving Pastor Dies at 93	Msgr. Gerald Ryan, who began working as a priest in the Bronx in 1945 and went on to become  the longest-serving pastor in New York  and probably the country, died on Thursday at Our Lady of Consolation, a residence for ill priests, in Riverdale. He 	2013-04-12T00:00:00Z	City&#x2019;s Longest-Serving Pastor Dies at 93
Otfried Preussler, Children’s Book Author, Dies at 89	One of Mr. Preussler’s most famous creations was the thief Hotzenplotz and his nemesis, Dimpfelmoser the policeman.	2013-02-25T00:00:00Z	Otfried Preussler
Abe Briloff, an Accountant Who Saw Through the Games	An appreciation of Abe Briloff, dead at 97, a prominent professor and accounting critic who dissected how the rules were being abused.	2013-12-13T17:49:43Z	Abe Briloff
Dennis Farina, Detective in Life and TV, Dies at 69	Mr. Farina spent 20 years as a police officer in Chicago before he starred as a detective on the television shows “Law & Order” and “Crime Story.”	2013-07-23T00:00:00Z	Dennis Farina
Harry Parker Dies at 77; Guiding Hand in Rowing	Mr. Parker was an omnipresent figure in rowing at the collegiate and national levels for decades, coaching Harvard rowers with unrivaled success and men’s and women’s Olympic medal-winning crews.	2013-06-27T00:00:00Z	Harry Parker Dies at 77; Guiding Hand in Rowing
Vollis Simpson, Visionary Artist of the Junkyard, Dies at 94	Mr. Simpson made metal scraps into magnificent things that twirled and jangled and clattered when he set them out on his land.	2013-06-06T00:00:00Z	Vollis Simpson
Lt. Gen. Sidney Berry, West Point Chief, Dies at 87	A decorated combat veteran and a military assistant to Robert S. McNamara, General Berry’s most notable role was overseeing the transition to coeducation at West Point.	2013-07-18T00:00:00Z	Lt. Gen. Sidney Berry
Spider, New York's Oldest Cabby, Dies at 94	Johnnie Footman, known widely as Spider, stopped driving a cab in recent months, but continued to show up most days at the cab depot he worked out of for many years.	2013-09-13T15:46:49Z	Spider
Paul Scoon, Who Invited Grenada Invaders, Dies at 78	Mr. Scoon was appointed to the ceremonial post of governor general of Grenada before playing the role of power broker when the United States invaded his Caribbean nation.	2013-09-09T00:00:00Z	Paul Scoon
William H. Gray III, Pastor and Lawmaker, Dies at 71	Mr. Gray was a third-generation Baptist minister from Philadelphia who won a seat in Congress in 1978 and rose to become the highest-ranking black lawmaker in the country.	2013-07-03T00:00:00Z	William H. Gray III
Brother’s Search Comes to a Grim End in Afghanistan	The remains of two men were found outside a former American Special Forces base in Afghanistan on Saturday, shortly after two other bodies were found nearby.	2013-06-02T00:00:00Z	Brother’s Search Comes to a Grim End in Afghanistan
Zhuang Zedong, Skilled in China Foreign Relations and Ping-Pong, Dies at 72	Mr. Zhuang became a national hero by winning three world championships and eased China’s relations with the United States through sports.	2013-02-12T00:00:00Z	Zhuang Zedong
New York's Longest-Serving Pastor Dies at 93	Msgr. Gerald Ryan was a joyful though sometimes stern fixture on 138th Street in the Bronx, where he led St. Luke’s parish from 1966 until his death.	2013-04-11T15:32:40Z	New York's Longest-Serving Pastor Dies at 93
Jonathan Winters, Unpredictable Comic and Master of Improvisation, Dies at 87	Mr. Winters shone as a guest on TV talk shows and kept audiences in stitches with characters like Maude Frickert, a sweet-seeming grandmother with a barbed tongue.	2013-04-13T00:00:00Z	Jonathan Winters
Claude Nobs, Founder of Montreux Jazz Festival, Dies at 76	A job at a local tourist board led Mr. Nobs to found “the Rolls-Royce of jazz festivals.”	2013-01-12T00:00:00Z	Claude Nobs
William Rees-Mogg, Ex-Editor of The Times of London, Dies at 84	Mr. Rees-Mogg was one of Britain’s most respected, if mercurial, conservative voices, rising to the defense of Richard Nixon as well as the Rolling Stones.	2013-01-05T00:00:00Z	William Rees-Mogg
Gordon Parks's Harlem Family Revisited	A Gordon Parks photo essay in Life magazine made the Fontenelle family in Harlem the face of American poverty. It also forged an enduring bond between Mr. Parks and Richard Fontenelle, the family’s only child to live past 30.	2013-03-05T05:00:41Z	Gordon Parks's Harlem Family Revisited
Philip E. Slater, Social Critic Who Renounced Academia, Dies at 86	Mr. Slater’s best-selling book, “The Pursuit of Loneliness,” was published in 1970. The following year, he resigned from Brandeis University.	2013-06-30T00:00:00Z	Philip E. Slater
Malachi Throne, Actor on TV, Dies at 84	Mr. Throne, of the ’60s television shows “It Takes a Thief” and “Batman,” was in both Gene Roddenberry’s original “Star Trek” and “Star Trek: The Next Generation.”	2013-03-25T00:00:00Z	Malachi Throne
Rafael Puyana, Famed Harpsichordist, Dies at 81	Mr. Puyana was one of the last disciples of Wanda Landowska, the great 20th-century emissary of the harpsichord.	2013-03-16T00:00:00Z	Rafael Puyana
Rex Scouten, an Overseer of Presidential Households, Dies at 88	Mr. Scouten, a former Secret Service agent, served commanders in chief from Harry S. Truman to Bill Clinton.	2013-02-23T00:00:00Z	Rex Scouten
Johnny Kucks, Who Pitched Yanks to Title, Dies at 81	Kucks had a mostly undistinguished six-season career in baseball, except when he helped the Yankees clinch the seventh game of the 1956 World Series with a shut out of the Brooklyn Dodgers.	2013-11-02T00:00:00Z	Johnny Kucks
Roger Richman, 69, Dies; Lobbied for Stars’ Heirs	Mr. Richman is widely credited with helping to invent a multimillion-dollar industry built on licensing the rights to images of dead celebrities.	2013-10-20T00:00:00Z	Roger Richman
Ken Norton, a Championship Fighter Who Broke Ali’s Jaw, Is Dead at 70	Norton fought three memorable fights with Muhammad Ali, winning once, and went on to become the World Boxing Council heavyweight champion.	2013-09-20T00:00:00Z	Ken Norton
