rec_no,commodity,site_name,company_na,state_loca,county,latitude,longitude,plant_min
1110,"Crushed Stone","Fort Wayne Quarry","Stoneco, Inc.",Indiana,Allen,41.0083,-85.2356,M/P
1111,"Crushed Stone","Midwest Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Allen,41.0742,-84.8453,M/P
1112,"Crushed Stone","Columbus Plant","Heritage Aggregates, Llc.",Indiana,Bartholomew,39.1664,-85.7836,M/P
1113,"Crushed Stone","Montpelier Plant","Irving Materials, Inc.",Indiana,Blackford,40.56208,-85.27589,M/P
1114,"Crushed Stone","Delphi Limestone Co.","Us Aggregates, Inc.",Indiana,Carroll,40.5989,-86.6869,M/P
1115,"Crushed Stone","Logansport Plant","Essroc Materials, Inc.",Indiana,Cass,40.75,-86.4167,M/P
1116,"Crushed Stone","Plant #1","Engineering Aggregates Corp.",Indiana,Cass,40.7319,-86.3378,M/P
1117,"Crushed Stone","Atkins Mine","Liter's Quarry Of Indiana, Inc.",Indiana,Clark,38.3125,-85.745,M/P
1118,"Crushed Stone","Essroc Materials","Essroc Materials, Inc.",Indiana,Clark,38.4117,-85.7567,M/P
1119,"Crushed Stone","Sellersburg Quarry","Sellersburg Stone Co., Inc.",Indiana,Clark,38.39,-85.7403,M/P
1120,"Crushed Stone","Cooper Lane Mine","Liter's Quarry Of Indiana, Inc.",Indiana,Clark,38.3683,-85.7133,M/P
1121,"Crushed Stone","Charlestown Quarry","Mulzer Crushed Stone, Inc.",Indiana,Clark,38.385,-85.7083,M/P
1122,"Crushed Stone","Aggrock Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Clark,38.4203,-85.7399,M/P
1123,"Crushed Stone","Cape Sandy #1 & #2","Mulzer Crushed Stone, Inc.",Indiana,Crawford,38.1347,-86.3511,M/P
1124,"Crushed Stone","Temple Quarry","Mulzer Crushed Stone, Inc.",Indiana,Crawford,38.2344,-86.3294,M/P
1125,"Crushed Stone","Tower Quarry","Mulzer Crushed Stone, Inc.",Indiana,Crawford,38.2733,-86.325,M/P
1126,"Crushed Stone","Harris City Quarry","New Point Stone Co., Inc.",Indiana,Decatur,39.28557,-85.52273,M/P
1127,"Crushed Stone","New Point Quarry","New Point Stone Co., Inc.",Indiana,Decatur,39.3247,-85.3336,M/P
1128,"Crushed Stone","Muncie Plant","Irving Materials, Inc.",Indiana,Delaware,40.24425,-85.33173,M/P
1129,"Crushed Stone","Derbyshire Quarry","New Point Stone Co., Inc.",Indiana,Franklin,39.47173,-85.22168,M/P
1130,"Crushed Stone","Pipe Creek Jr","Irving Materials, Inc.",Indiana,Grant,40.4639,-85.7914,M/P
1131,"Crushed Stone","Calcium Products Co.","Irving Materials, Inc.",Indiana,Grant,40.45765,-85.7964,M/P
1132,"Crushed Stone","Uland Quarry","Junction Limestone, Inc.",Indiana,Greene,39.1288,-86.7571,M/P
1133,"Crushed Stone","Stony Creek Stone Co.","Irving Materials, Inc.",Indiana,Hamilton,40.0397,-85.9397,M/P
1134,"Crushed Stone","Mccordsville Quarry","Irving Materials, Inc.",Indiana,Hamilton,39.9497,-85.9331,M/P
1135,"Crushed Stone","Corydon Quarry","Corydon Stone & Asphalt, Inc.",Indiana,Harrison,38.2486,-86.1486,M/P
1136,"Crushed Stone","Davis Crushed Stone Operation","John S. Davis, Inc.",Indiana,Harrison,38.335,-86.1722,M/P
1137,"Crushed Stone","Mathes Quarry","Mathes Quarry",Indiana,Harrison,38.1664,-86.1347,M/P
1138,"Crushed Stone","Milltown Rock Quarry","Robertson Crushed Stone, Inc.",Indiana,Harrison,38.3417,-86.2417,M/P
1139,"Crushed Stone","New Amsterdam Quarry","Mulzer Crushed Stone, Inc.",Indiana,Harrison,38.08414,-86.27137,M/P
1140,"Crushed Stone","Kokomo Stone  (#441)","Martin Marietta Aggregates",Indiana,Howard,40.4735,-86.17218,M/P
1141,"Crushed Stone","Huntington Quarry","Erie Stone Co.",Indiana,Huntington,40.8914,-85.4597,M/P
1142,"Crushed Stone","Babcock Quarry","Material Service Corp.",Indiana,Jasper,40.9317,-87.1453,M/P
1143,"Crushed Stone","Bryant Plant","Stoneco, Inc.",Indiana,Jay,40.571,-84.8734,M/P
1144,"Crushed Stone","Portland Operation","Meshberger Bros. Stone Corp.",Indiana,Jay,40.4219,-85.0144,M/P
1145,"Crushed Stone","North Vernon Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Jennings,39.0172,-85.6189,M/P
1146,"Crushed Stone","Hayden Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Jennings,38.9864,-85.725,M/P
1147,"Crushed Stone","Northern Indiana Materials","Northern Indiana Materials Corp.",Indiana,Lake,41.25344,-87.40047,M/P
1148,"Crushed Stone","Lehigh Cement","Lehigh Cement Co.",Indiana,Lawrence,38.7333,-86.4717,M/P
1149,"Crushed Stone","Mitchell Quarry","Mitchell Crushed Stone Co.",Indiana,Lawrence,38.7089,-86.5897,M/P
1150,"Crushed Stone","Sieboldt Quarry","Rogers Group, Inc.",Indiana,Lawrence,38.9606,-86.5936,M/P
1151,"Crushed Stone","Pendelton Quarry","Irving Materials, Inc.",Indiana,Madison,40.0303,-85.7192,M/P
1152,"Crushed Stone","Lapel Quarry","Martin Marietta Aggregates",Indiana,Madison,40.0731,-85.8525,M/P
1153,"Crushed Stone","Harding Street Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Marion,39.7042,-86.1975,M/P
1154,"Crushed Stone","North Indianapolis (#208)","Martin Marietta Aggregates",Indiana,Marion,39.71537,-86.2037,M/P
1155,"Crushed Stone","Kentucky Ave Mine","Martin Marietta Aggregates",Indiana,Marion,39.72379,-86.20774,M/P
1156,"Crushed Stone","Harding Street Mine","Hanson Aggregates Midwest, Inc.",Indiana,Marion,39.7045,-86.19533,M/P
1157,"Crushed Stone","Peru Stone Quarry","Rock Industries, Inc.",Indiana,Miami,40.7644,-86.1044,M/P
1158,"Crushed Stone","Mill Creel Quarry","Stoneco, Inc.",Indiana,Miami,40.67151,-86.10139,M/P
1159,"Crushed Stone","Bloomington Quarry","Rogers Group, Inc.",Indiana,Monroe,39.1803,-86.6244,M/P
1160,"Crushed Stone","Crown Quarry","Rogers Group, Inc.",Indiana,Monroe,39.1748,-86.6215,M/P
1161,"Crushed Stone","Newton County Quarry","Rogers Group, Inc.",Indiana,Newton,40.7639,-87.3894,M/P
1162,"Crushed Stone","Calcar Quarry","Calcar Quarries, Inc.",Indiana,Orange,38.5456,-86.4411,M/P
1163,"Crushed Stone","Cave Quarries","Cave Quarries, Inc.",Indiana,Orange,38.5678,-86.54,M/P
1164,"Crushed Stone","Abydel Quarry","Mulzer Crushed Stone, Inc.",Indiana,Orange,38.57935,-86.53503,M/P
1165,"Crushed Stone","Orleans Quarry","Rogers Group, Inc.",Indiana,Orange,38.6765,-86.466,M/P
1166,"Crushed Stone","Owen Valley Quarry","Rogers Group, Inc.",Indiana,Owen,39.29573,-86.78525,M/P
1167,"Crushed Stone","Gosport Quarry (#117)","Martin Marietta Aggregates",Indiana,Owen,39.37125,-86.69848,M/P
1168,"Crushed Stone","Francesville Quarry (#342)","Vulcan Materials Co.",Indiana,Pulaski,40.96115,-86.88558,M/P
1169,"Crushed Stone","Ward Stone Yard 47","Material Service Corp.",Indiana,Pulaski,40.9481,-86.8881,M/P
1170,"Crushed Stone","Harris Stone Quarry","Harris Stone Service, Inc.",Indiana,Putnam,39.7425,-86.8419,M/P
1171,"Crushed Stone","Lone Star Industries","Lone Star Industries, Inc.",Indiana,Putnam,39.6167,-86.87,M/P
1172,"Crushed Stone","Cloverdale (#216)","Martin Marietta Aggregates",Indiana,Putnam,39.5789,-86.7953,M/P
1173,"Crushed Stone","Putnamville Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Putnam,39.53183,-86.8893,M/P
1174,"Crushed Stone","O.Z. Bridges Memorial Quarry","S&G Excavating, Inc.",Indiana,Putnam,39.5807,-86.8699,M/P
1175,"Crushed Stone","Putnam Quarry (#141)","Martin Marietta Aggregates",Indiana,Putnam,39.5706,-86.8263,M/P
1176,"Crushed Stone","Limedale Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Putnam,39.63889,-86.845,M/P
1177,"Crushed Stone","Ridgeville Operation","Meshberger Bros. Stone Corp.",Indiana,Randolph,40.2842,-85.0225,M/P
1178,"Crushed Stone","Versailles Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Ripley,39.0242,-85.2719,M/P
1179,"Crushed Stone","Napoleon Quarry","New Point Stone Co., Inc.",Indiana,Ripley,39.205,-85.3167,M/P
1180,"Crushed Stone","Rush  County Stone","Rush County Stone Co., Inc.",Indiana,Rush,39.4989,-85.5458,M/P
1181,"Crushed Stone","Tom Miller Quarry","Liter's Quarry, Inc.",Indiana,Scott,38.6885,-85.6582,M/P
1182,"Crushed Stone","Scott County Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Scott,38.69,-85.6517,M/P
1183,"Crushed Stone","Cave-Flat Rock Plant","Heritage Aggregates, Inc.",Indiana,Shelby,39.3561,-85.7717,M/P
1184,"Crushed Stone","St. Paul Stone Co.","New Point Stone Co., Inc.",Indiana,Shelby,39.4319,-85.6375,M/P
1185,"Crushed Stone","Salem Quarry","Hanson Aggregates Midwest, Inc.",Indiana,Washington,38.60083,-86.12275,M/P
1186,"Crushed Stone","Richmond Quarry","Barrett Paving Materials, Inc.",Indiana,Wayne,39.9119,-84.8256,M/P
1187,"Crushed Stone","Bluffton Quarry","Erie Stone Co.",Indiana,Wells,40.7658,-85.1778,M/P
1188,"Crushed Stone","Monon Quarry (#341)","Vulcan Materials Co.",Indiana,White,40.84395,-86.87878,M/P
1189,"Crushed Stone","Plant #5","Schildberg Construction Co., Inc.",Iowa,Adair,41.41212,-94.45533,M/P
1190,"Crushed Stone","Plant #6","Schildberg Construction Co., Inc.",Iowa,Adair,41.41212,-94.45533,M/P
1191,"Crushed Stone","Plant #1","Schildberg Construction Co., Inc.",Iowa,Adair,41.4072,-94.37477,M/P
1192,"Crushed Stone","Plant #2","Schildberg Construction Co., Inc.",Iowa,Adair,41.4072,-94.37477,M/P
1193,"Crushed Stone","Plant #3","Schildberg Construction Co., Inc.",Iowa,Adair,41.46283,-94.43333,M/P
1194,"Crushed Stone","Stripping Crew","Schildberg Construction Co., Inc.",Iowa,Adair,41.47133,-94.447,M/P
1195,"Crushed Stone","Schildberg Shops","Schildberg Construction Co., Inc.",Iowa,Adair,41.30647,-94.45377,M/P
1196,"Crushed Stone","Mccabe Quarry","Bruening Rock Products, Inc.",Iowa,Allamakee,43.35538,-91.35007,M/P
1197,"Crushed Stone","Garrison Quarry","Wendling Quarries, Inc.",Iowa,Benton,42.13058,-92.13399,M/P
1198,"Crushed Stone","Jabens Quarry","Coots Materials Co.",Iowa,Benton,42.18828,-92.17191,M/P
1199,"Crushed Stone","Yokom Quarry","Basic Materials Corp.",Iowa,"Black Hawk",42.6354,-92.50433,M/P
1200,"Crushed Stone","Morgan Quarry","Basic Materials Corp.",Iowa,"Black Hawk",42.52009,-92.24848,M/P
1201,"Crushed Stone","Waterloo South","Basic Materials Corp.",Iowa,"Black Hawk",42.34806,-92.28871,M/P
1202,"Crushed Stone","Frederika Quarry","Basic Materials Corp.",Iowa,Bremer,42.88433,-92.32718,M/P
1203,"Crushed Stone","Brooks Quarry","Bruening Rock Products, Inc.",Iowa,Buchanan,42.46357,-91.86034,M/P
1204,"Crushed Stone","Mishler Quarry","Bruening Rock Products, Inc.",Iowa,Buchanan,42.63932,-91.8814,M/P
1205,"Crushed Stone","Mcguire/Stonemill Quarry","Wendling Quarries, Inc.",Iowa,Cedar,41.73558,-91.16141,M/P
1206,"Crushed Stone","Lowden Quarry","Wendling Quarries, Inc.",Iowa,Cedar,41.85202,-90.96528,M/P
1207,"Crushed Stone","Mason City Plant","Lehigh Cement Co.",Iowa,"Cerro Gordo",43.17797,-93.2104,M/P
1208,"Crushed Stone","Mason City Quarry","Holcim (Us), Inc.",Iowa,"Cerro Gordo",43.17258,-93.1993,M/P
1209,"Crushed Stone","Mason City Quarry (#521)","Martin Marietta Aggregates",Iowa,"Cerro Gordo",43.19475,-93.23511,M/P
1210,"Crushed Stone","Portland Quarry (#709)","Martin Marietta Aggregates",Iowa,"Cerro Gordo",43.11897,-93.1296,M/P
1211,"Crushed Stone","Deerfield Quarry","Bruening Rock Products, Inc.",Iowa,Chickasaw,43.08291,-92.49805,M/P
1212,"Crushed Stone","Osceola Quarry (#140)","Martin Marietta Aggregates",Iowa,Clarke,41.06074,-93.80281,M/P
1213,"Crushed Stone","Behr Quarry","Wendling Quarries, Inc.",Iowa,Clinton,41.85119,-90.57765,M/P
1214,"Crushed Stone","Shaffton Quarry #041","Wendling Quarries, Inc.",Iowa,Clinton,41.75029,-90.32561,M/P
1215,"Crushed Stone","Mill Creek Quarry","Wendling Quarries, Inc.",Iowa,Clinton,41.9023,-90.2469,M/P
1216,"Crushed Stone","Lewis Quarry","Douds Stone, Inc.",Iowa,Davis,40.80667,-92.20744,M/P
1217,"Crushed Stone","Grand River Quarry (#158)","Martin Marietta Aggregates",Iowa,Decatur,40.85195,-93.95241,M/P
1218,"Crushed Stone","Decatur Quarry","Martin Marietta Aggregates",Iowa,Decatur,40.71923,-93.87157,M/P
1219,"Crushed Stone","Nelson Quarry","Cessford Construction Co.",Iowa,"Des Moines",41.00797,-91.0547,M/P
1220,"Crushed Stone","Geode Quarry","Cessford Construction Co.",Iowa,"Des Moines",40.80538,-91.36725,M/P
1221,"Crushed Stone","Arensdorf Quarry","Wendling Quarries, Inc.",Iowa,Dubuque,42.31668,-90.675,M/P
1222,"Crushed Stone","Stripping Crew #1","Paul Niemann Construction Co.",Iowa,Fayette,42.91817,-91.80283,M/P
1223,"Crushed Stone","All Rock Crushing Plant #2","Greene Limestone Co",Iowa,Floyd,43.03767,-92.6475,M/P
1224,"Crushed Stone","Hibnes Quarry (#706)","Martin Marietta Aggregates",Iowa,Franklin,42.67602,-93.18571,M/P
1225,"Crushed Stone","Garner Quarry","Basic Materials Corp.",Iowa,Hancock,43.06027,-93.62576,M/P
1226,"Crushed Stone","Alden Plant","Iowa Limestone Co.",Iowa,Hardin,42.51666,-93.34208,M/P
1227,"Crushed Stone","Alden Quarry (#701)","Martin Marietta Aggregates",Iowa,Hardin,42.51482,-93.35424,M/P
1228,"Crushed Stone","Gehrke Quarry","Gehrke Quarries, Inc.",Iowa,Hardin,42.28683,-93.067,M/P
1229,"Crushed Stone","Nelson Quarry","Douds Stone, Inc.",Iowa,Henry,40.90802,-91.50413,M/P
1230,"Crushed Stone","Nelson Quarry","Bruening Rock Products, Inc.",Iowa,Howard,43.36056,-92.38028,M/P
1231,"Crushed Stone","Pederson Quarry (#101)","Martin Marietta Aggregates",Iowa,Humboldt,42.74303,-94.18197,M/P
1232,"Crushed Stone","Preston Quarry","Wendling Quarries, Inc.",Iowa,Jackson,42.05538,-90.34502,M/P
1233,"Crushed Stone","Maquoketa Rockdale Quarry","Wendling Quarries, Inc.",Iowa,Jackson,42.08352,-90.55874,M/P
1234,"Crushed Stone","Andrew Quarry","Wendling Quarries, Inc.",Iowa,Jackson,42.15675,-90.61685,M/P
1235,"Crushed Stone","Sully Mine (#551)","Martin Marietta Aggregates",Iowa,Jasper,41.6465,-92.83083,M/P
1236,"Crushed Stone","Klein Quarry","The River Products Co.,  Inc.",Iowa,Johnson,41.64933,-91.62133,M/P
1237,"Crushed Stone","Four County Quarry","Wendling Quarries, Inc.",Iowa,Johnson,41.8547,-91.78254,M/P
1238,"Crushed Stone","Conklin Quarry","River Products Co., Inc.",Iowa,Johnson,41.6945,-91.56183,M/P
1239,"Crushed Stone","Olin Quarry","Wendling Quarries, Inc.",Iowa,Jones,41.98684,-91.13248,M/P
1240,"Crushed Stone","Wyoming Quarry","Wendling Quarries, Inc.",Iowa,Jones,42.04127,-90.96639,M/P
1241,"Crushed Stone","Weber Quarry & Mill","Weber Stone Co., Inc.",Iowa,Jones,42.1167,-91.35,M/P
1242,"Crushed Stone","Lyle Mine","Douds Stone, Inc.",Iowa,Keokuk,41.21644,-92.31406,M/P
1243,"Crushed Stone","Se Hawkeye Quarry","Cessford Construction Co.",Iowa,Lee,40.70608,-91.54025,M/P
1244,"Crushed Stone","Robins Quarry","Wendling Quarries, Inc.",Iowa,Linn,42.0785,-91.66294,M/P
1245,"Crushed Stone","Lee Crawford Quarry","Lee Crawford Quarry",Iowa,Linn,41.98832,-91.74667,M/P
1246,"Crushed Stone","Cedar Rapids Quarry (#196)","Martin Marietta Aggregates",Iowa,Linn,41.92745,-91.53908,M/P
1247,"Crushed Stone","Bowser Quarry","Wendling Quarries, Inc.",Iowa,Linn,42.05652,-91.45304,M/P
1248,"Crushed Stone","Cedar Rapids South","Wendling Quarries, Inc.",Iowa,Linn,41.92761,-91.70591,M/P
1249,"Crushed Stone","Hennessey Quarry","Bruening Rock Products, Inc.",Iowa,Linn,41.94585,-91.60872,M/P
1250,"Crushed Stone","Columbus Junction","River Products Co., Inc.",Iowa,Louisa,41.27167,-91.33367,M/P
1251,"Crushed Stone","Earlham Quarry (#152)","Martin Marietta Aggregates",Iowa,Madison,41.48899,-94.08447,M/P
1252,"Crushed Stone","East Winterset Quarry (#127)","Martin Marietta Aggregates",Iowa,Madison,41.32193,-94.20678,M/P
1253,"Crushed Stone","Durham Mine (#550)","Martin Marietta Aggregates",Iowa,Marion,41.32106,-92.9546,M/P
1254,"Crushed Stone","S&S Quarry","Bruening Rock Products, Inc.",Iowa,Marion,41.18897,-93.28877,M/P
1255,"Crushed Stone","Ferguson Quarry","Martin Marietta Aggregates",Iowa,Marshall,41.94402,-92.86107,M/P
1256,"Crushed Stone","Le Grand Quarry","Cessford Construction Co.",Iowa,Marshall,42.04239,-92.77599,M/P
1257,"Crushed Stone","Le Grande Quarry","Martin Marietta Aggregates",Iowa,Marshall,42.02801,-92.78286,M/P
1258,"Crushed Stone","Duenow Quarry","L. R. Falk  Construction Co., Inc.",Iowa,Mitchell,43.40432,-92.87335,M/P
1259,"Crushed Stone","Wagner Quarry","L. R. Falk  Construction Co., Inc.",Iowa,Mitchell,43.27721,-92.76167,M/P
1260,"Crushed Stone","Eddyville Quarry (#554)","Martin Marietta Aggregates",Iowa,Monroe,41.1595,-92.66873,M/P
1261,"Crushed Stone","Moscow Quarry","Wendling Quarries, Inc.",Iowa,Muscatine,41.5775,-91.11033,M/P
1262,"Crushed Stone","Moore Quarry (#390)","Martin Marietta Aggregates",Iowa,Pocahontas,42.60563,-94.44784,M/P
1263,"Crushed Stone","Malcom Stone Co. (#120)","Martin Marietta Aggregates",Iowa,Poweshiek,41.76033,-92.5945,M/P
1264,"Crushed Stone","Davenport Plant","Lafarge North America, Inc.",Iowa,Scott,41.46217,-90.70167,M/P
1265,"Crushed Stone","Linwood Mine","Linwood Mining & Minerals Corp.",Iowa,Scott,41.46537,-90.68363,M/P
1266,"Crushed Stone","Ames Mine (#121)","Martin Marietta Aggregates",Iowa,Story,42.0714,-93.6008,M/P
1267,"Crushed Stone","Montour Quarry","Wendling Quarries, Inc.",Iowa,Tama,42.0136,-92.71727,M/P
1268,"Crushed Stone","Gardner Quarry","Douds Stone, Inc.",Iowa,"Van Buren",40.86407,-92.1309,M/P
1269,"Crushed Stone","Douds Underground Mine","Douds Stone, Inc.",Iowa,"Van Buren",40.8328,-92.0706,M/P
1270,"Crushed Stone","Fort Dodge Mine (#731)","Martin Marietta Aggregates",Iowa,Webster,42.5025,-94.2235,M/P
1271,"Crushed Stone","Skyline Quarry","Bruening Rock Products, Inc.",Iowa,Winneshiek,43.32053,-91.77267,M/P
1272,"Crushed Stone","Festina Quarry","Bruening Rock Products, Inc.",Iowa,Winneshiek,43.11817,-91.8542,M/P
1273,"Crushed Stone","Busta Quarry","Bruening Rock Products, Inc.",Iowa,Winneshiek,43.10958,-92.07208,M/P
1274,"Crushed Stone","Crow Quarry","Wiltgen Construction Co.",Iowa,Winneshiek,43.20733,-91.95062,M/P
1275,"Crushed Stone","Fertile Quarry","Basic Materials Corp.",Iowa,Worth,43.34986,-93.38872,M/P
1276,"Crushed Stone","Harris Quarry (#741)","Martin Marietta Aggregates",Iowa,Worth,43.44419,-93.23825,M/P
1277,"Crushed Stone","The Monarch Cement Co.","The Monarch Cement Co.",Kansas,Allen,37.7602,-95.4381,M/P
1278,"Crushed Stone","Plant #1","Nelson Quarries, Inc.",Kansas,Allen,37.9051,-95.2824,M/P
1279,"Crushed Stone","Midland Quarry","Midland Quarry Co.",Kansas,Atchison,39.50224,-95.11869,M/P
1280,"Crushed Stone","Bromley Mine & Mill","Bromley Quarry & Asphalt, Inc.",Kansas,Atchison,39.60551,-95.10123,M/P
1281,"Crushed Stone","Augusta Ks Quarry (#363)","Martin Marietta Aggregates",Kansas,Butler,37.7189,-97.0263,M/P
1282,"Crushed Stone","Southwest Butler Quarry","South West Butler Quarry Co.",Kansas,Butler,37.58859,-97.02176,M/P
1283,"Crushed Stone","Plant #1","Harshman Construction, Llc.",Kansas,Chase,38.34084,-96.65797,M/P
1284,"Crushed Stone","Plant #2","Harshman Construction, Llc.",Kansas,Chase,38.4553,-96.64643,M/P
1285,"Crushed Stone","Martin Quarry","Bayer Construction Co., Inc.",Kansas,Clay,39.29641,-97.00048,M/P
1286,"Crushed Stone","Jarvis Quarry","Hunt Midwest Mining, Inc.",Kansas,Cowley,37.1014,-96.6742,M/P
1287,"Crushed Stone","Windfield (#354)","Martin Marietta Aggregates",Kansas,Cowley,37.24121,-96.5386,M/P
1288,"Crushed Stone","Nelson Quarries #2","Nelson Quarries, Inc.",Kansas,Crawford,37.42051,-94.80978,M/P
1289,"Crushed Stone","Pittsburg #5 Quarry","Midwest Minerals, Inc.",Kansas,Crawford,37.40968,-94.81882,M/P
1290,"Crushed Stone","Mulberry Limestone Quarry","Mulberry Quarry Co.",Kansas,Crawford,37.54633,-94.6349,M/P
1291,"Crushed Stone","Woodbine Quarry","Martin Marietta Aggregates",Kansas,Dickinson,38.84869,-96.94983,M/P
1292,"Crushed Stone","Kansas Falls Quarry (#360)","Martin Marietta Aggregates",Kansas,Dickinson,39.03686,-97.06918,M/P
1293,"Crushed Stone","K18 Quarry (#887)","Martin Marietta Aggregates",Kansas,Dickinson,38.95802,-97.00805,M/P
1294,"Crushed Stone","Oswego Coal Co., Inc.","Oswego Coal Co., Inc.",Kansas,Franklin,38.6371,-95.2449,M/P
1295,"Crushed Stone","Lawrence Quarry","Hunt Midwest Mining, Inc.",Kansas,Franklin,38.60469,-95.20219,M/P
1296,"Crushed Stone","Ottawa Quarry (#376)","Martin Marietta Aggregates",Kansas,Franklin,38.65577,-95.25112,M/P
1297,"Crushed Stone","Blake Quarry","Martin Marietta Aggregates",Kansas,Greenwood,37.6278,-96.1837,M/P
1298,"Crushed Stone","Fall River Quarry","Apac-Kansas, Inc. - Shears Div.",Kansas,Greenwood,37.63103,-96.05924,M/P
1299,"Crushed Stone","Plant #80003","N. R. Hamm Quarry, Inc.",Kansas,Jefferson,39.32843,-95.5842,M/P
1300,"Crushed Stone","Plant # 80006","N. R. Hamm Quarry, Inc.",Kansas,Jefferson,39.19286,-95.529,M/P
1301,"Crushed Stone","Plant #80008","N. R. Hamm Quarry, Inc.",Kansas,Jefferson,39.28521,-95.24987,M/P
1302,"Crushed Stone","Plant #80002","N. R. Hamm Quarry, Inc.",Kansas,Jefferson,39.09109,-95.51771,M/P
1303,"Crushed Stone","Cedar Creek Quarry","Ash Grove Aggregates, Inc.",Kansas,Johnson,38.84367,-94.85727,M/P
1304,"Crushed Stone","Edgerton Quarry","Bazin Excavating Inc",Kansas,Johnson,38.8546,-94.6712,M/P
1305,"Crushed Stone","Stanley West Quarry","Apac-Kansas, Inc. - Shears Div.",Kansas,Johnson,38.81449,-94.69088,M/P
1306,"Crushed Stone","Limestone Plant #4","Shawnee Rock Co.",Kansas,Johnson,39.03141,-94.79649,M/P
1307,"Crushed Stone","Sunflower Quarry","Hunt Midwest Mining, Inc.",Kansas,Johnson,38.93476,-94.96887,M/P
1308,"Crushed Stone","Lone Elm Quarry","Shawnee Rock Co.",Kansas,Johnson,39.04042,-94.79555,M/P
1309,"Crushed Stone","Olathe Aggregate","Asphalt Sales Co., Inc.",Kansas,Johnson,38.84126,-94.85622,M/P
1310,"Crushed Stone","Olathe Mine","Holland Corp., Inc.",Kansas,Johnson,38.83638,-94.86646,M/P
1311,"Crushed Stone","Parsons #3 Quarry","Midwest Minerals, Inc.",Kansas,Labette,37.27782,-95.28075,M/P
1312,"Crushed Stone","Quartzite Quarry","Apac-Kansas, Inc. - Shears Div.",Kansas,Lincoln,39.0225,-98.1381,M/P
1313,"Crushed Stone","La Cygne Quarry","Ash Grove Aggregates, Inc.",Kansas,Linn,38.38523,-94.6273,M/P
1314,"Crushed Stone","Rogers Quarry","Wade Agricultural Products, Inc.",Kansas,Linn,38.3825,-95.05181,M/P
1315,"Crushed Stone","Hartford Quarry","Apac-Kansas, Inc. - Shears Div.",Kansas,Lyon,38.73526,-96.16327,M/P
1316,"Crushed Stone","North Marion Quarry","Martin Marietta Aggregates",Kansas,Marion,38.26842,-96.9156,M/P
1317,"Crushed Stone","Fitzgerald / Shotwell Quarry","Bayer Construction Co., Inc.",Kansas,Marshall,39.86688,-96.44043,M/P
1318,"Crushed Stone","Louisburg Quarry","Apac-Kansas, Inc. - Shears Div.",Kansas,Miami,38.66811,-94.68953,M/P
1319,"Crushed Stone","Independent Quarry & Mill","Heartland Cement Co.",Kansas,Montgomery,37.20512,-95.68579,M/P
1320,"Crushed Stone","Scott Rock Quarry","Scott Rock Co.",Kansas,Montgomery,37.33973,-95.72649,M/P
1321,"Crushed Stone","Coffeyville #16 Quarry","Midwest Minerals, Inc.",Kansas,Montgomery,37.04529,-95.5271,M/P
1322,"Crushed Stone","Chanute Quarry","Ash Grove Cement Co.",Kansas,Neosho,37.6783,-95.4483,M/P
1323,"Crushed Stone","Chanute Quarry","Harry Byers & Sons, Inc.",Kansas,Neosho,37.68184,-95.47527,M/P
1324,"Crushed Stone","Moore Quarry","Bayer Construction Co., Inc.",Kansas,Riley,39.1741,-96.5794,M/P
1325,"Crushed Stone","Stevens Quarry","Bayer Construction Co., Inc.",Kansas,Riley,39.30012,-96.73967,M/P
1326,"Crushed Stone","Plant #2","Bayer Construction Co., Inc.",Kansas,Riley,39.15528,-96.53722,M/P
1327,"Crushed Stone","Big Springs (#350)","Martin Marietta Aggregates",Kansas,Shawnee,38.99313,-95.50542,M/P
1328,"Crushed Stone","Fredonia Quarry","Lafarge North America, Inc.",Kansas,Wilson,37.54109,-95.84908,M/P
1329,"Crushed Stone","Altoona #24 Quarry","Midwest Minerals, Inc.",Kansas,Wilson,37.53099,-95.69566,M/P
1330,"Crushed Stone","Struthers #27 Quaary","Midwest Minerals, Inc.",Kansas,Wilson,37.41065,-95.75377,M/P
1331,"Crushed Stone","Shawnee Rock Co Iii","Deffenbaugh Industries, Inc.",Kansas,Wyandotte,39.06835,-94.8668,M/P
1332,"Crushed Stone","Inland Quarries","Americold Logistics, Inc.",Kansas,Wyandotte,39.0621,-94.7377,M/P
1333,"Crushed Stone","Williams Quarry","Gaddie Shamrock, Inc.",Kentucky,Adair,37.04553,-85.26228,M/P
1334,"Crushed Stone","Tyrone Quarry","Hanson Aggregates Midwest, Inc.",Kentucky,Anderson,38.03772,-84.84688,M/P
1335,"Crushed Stone","Barren County Quarry","Scottys Contracting & Stone Co., Inc.",Kentucky,Barren,37.06727,-85.9506,M/P
1336,"Crushed Stone","Barren East Quarry","Scottys Contracting & Stone Co., Inc.",Kentucky,Barren,37.0226,-85.7687,M/P
